,state_abbr,geoid,ccid,chamber,district_name,name,dem_share,year,district_number,cc_score,seat_number,party,is_current
3590,ME,23129,23129L,State House,State House District 129,Peter Lyford,,,29,24,129,Republican,True
3592,ME,23014,23014L,State House,State House District 14,Lynn Copeland,,,14,9999,14,Democrat,True
3595,ME,23151,23151L,State House,State House District 151,John Martin,,,51,95,151,Democrat,True
3598,ME,23059,23059L,State House,State House District 59,Margaret Craven,,,59,100,59,Democrat,True
3601,ME,23037,23037L,State House,State House District 37,Grayson Lookner,,,37,9999,37,Democrat,True
3604,ME,23009,23009L,State House,State House District 9,Traci Gere,,,09,9999,9,Democrat,True
3608,ME,23099,23099L,State House,State House District 99,Maryanne Kinney,,,99,60,99,Republican,True
3610,ME,23058,23058L,State House,State House District 58,Jonathan Connor,,,58,9999,58,Republican,True
3615,ME,23104,23104L,State House,State House District 104,Steven Foster,,,04,10,104,Republican,True
3616,ME,23028,23028L,State House,State House District 28,Christopher Caiazzo,,,28,100,28,Democrat,True
3619,ME,23057,23057L,State House,State House District 57,Thomas Martin,,,57,11,57,Republican,True
3623,ME,23119,23119L,State House,State House District 119,Paul Stearns,,,19,66,119,Republican,True
3625,ME,23109,23109L,State House,State House District 109,Bruce White,,,09,100,109,Democrat,True
3628,ME,23061,23061L,State House,State House District 61,Heidi Brooks,,,61,100,61,Democrat,True
3630,ME,23140,23140L,State House,State House District 140,Anne Perry,,,40,100,140,Democrat,True
3632,ME,23018,23018L,State House,State House District 18,John Tuttle,,,18,9999,18,Democrat,True
3636,ME,23108,23108L,State House,State House District 108,Shelley Rudnicki,,,08,10,108,Republican,True
3639,ME,23029,23029L,State House,State House District 29,Sophia Warren,,,29,9999,29,Indepenent,True
3643,ME,23138,23138L,State House,State House District 138,Robert Alley,,,38,100,138,Democrat,True
3645,ME,23015,23015L,State House,State House District 15,Margaret O'Neil,,,15,100,15,Democrat,True
3646,ME,23044,23044L,State House,State House District 44,Teresa Pierce,,,44,100,44,Democrat,True
3649,ME,23139,23139L,State House,State House District 139,William Tuell,,,39,72,139,Republican,True
3652,ME,23128,23128L,State House,State House District 128,Kevin O'Connell,,,28,9999,128,Democrat,True
3656,ME,23142,23142L,State House,State House District 142,Jeffery Gifford,,,42,9999,142,Republican,True
3659,ME,23041,23041L,State House,State House District 41,Samuel Zager,,,41,9999,41,Democrat,True
3662,ME,23016,23016L,State House,State House District 16,Nathan Carlow,,,16,9999,16,Republican,True
3666,ME,23126,23126L,State House,State House District 126,Laura Supica,,,26,9999,126,Democrat,True
3669,ME,23098,23098L,State House,State House District 98,Scott Cuddy,,,98,100,98,Democrat,True
3674,ME,23097,23097L,State House,State House District 97,Janice Dodge,,,97,100,97,Democrat,True
3676,ME,23086,23086L,State House,State House District 86,Justin Fecteau,,,86,0,86,Republican,True
3678,ME,23026,23026L,State House,State House District 26,Maureen Terry,,,26,100,26,Democrat,True
3679,ME,23149,23149L,State House,State House District 149,Susan Bernard,,,49,9999,149,Republican,True
3684,ME,23122,23122L,State House,State House District 122,Michelle Dunphy,,,22,100,122,Democrat,True
3685,ME,23007,23007L,State House,State House District 7,Timothy Roche,,,07,9999,7,Republican,True
3689,ME,23048,23048L,State House,State House District 48,Melanie Sachs,,,48,9999,48,Democrat,True
3691,ME,23036,23036L,State House,State House District 36,Michael Brennan,,,36,100,36,Democrat,True
3694,ME,23077,23077L,State House,State House District 77,Michael Perkins,,,77,23,77,Republican,True
3697,ME,23035,23035L,State House,State House District 35,Suzanne Salisbury,,,35,9999,35,Democrat,True
3701,ME,23113,23113L,State House,State House District 113,Scott Landry,,,13,100,113,Democrat,True
3704,ME,23067,23067L,State House,State House District 67,Susan Austin,,,67,29,67,Republican,True
3705,ME,23043,23043L,State House,State House District 43,Edward Crockett,,,43,100,43,Democrat,True
3707,ME,23069,23069L,State House,State House District 69,Walter Riseman,,,69,100,69,Indepenent,True
3710,ME,23112,23112L,State House,State House District 112,Thomas Skolfield,,,12,61,112,Republican,True
3712,ME,23131,23131L,State House,State House District 131,Sherman Hutchins,,,31,10,131,Republican,True
3715,ME,23103,23103L,State House,State House District 103,James Thorne,,,03,9999,103,Republican,True
3718,ME,23019,23019L,State House,State House District 19,Matthew Harrington,,,19,50,19,Republican,True
3720,ME,23062,23062L,State House,State House District 62,Gina Melaragno,,,62,100,62,Democrat,True
3723,ME,23121,23121L,State House,State House District 121,Gary Drinkwater,,,21,10,121,Republican,True
3725,ME,23001,23001L,State House,State House District 1,Kristi Mathieson,,,01,9999,1,Democrat,True
3728,ME,23049,23049L,State House,State House District 49,Poppy Arford,,,49,9999,49,Democrat,True
3730,ME,23079,23079L,State House,State House District 79,Timothy Theriault,,,79,30,79,Republican,True
3732,ME,23143,23143L,State House,State House District 143,Peggy Stanley,,,43,9999,143,Republican,True
3734,ME,23021,23021L,State House,State House District 21,Heidi Sampson,,,21,38,21,Republican,True
3737,ME,23065,23065L,State House,State House District 65,Amy Arata,,,65,40,65,Republican,True
3740,ME,23148,23148L,State House,State House District 148,David McCrea,,,48,100,148,Democrat,True
3743,ME,23127,23127L,State House,State House District 127,Barbara Cardone,,,27,100,127,Democrat,True
3746,ME,23025,23025L,State House,State House District 25,Patrick Corey,,,25,84,25,Republican,True
3748,ME,23084,23084L,State House,State House District 84,Charlotte Warren,,,84,100,84,Democrat,True
3751,ME,23141,23141L,State House,State House District 141,Kathy Javner,,,41,10,141,Republican,True
3755,ME,23091,23091L,State House,State House District 91,Jeffrey Evangelos,,,91,100,91,Indepenent,True
3758,ME,23135,23135L,State House,State House District 135,Lynne Williams,,,35,9999,135,Democrat,True
3761,ME,23045,23045L,State House,State House District 45,Stephen Moriarty,,,45,100,45,Democrat,True
3767,ME,23023,23023L,State House,State House District 23,Lester Ordway,,,23,33,23,Republican,True
3770,ME,23013,23013L,State House,State House District 13,Lori Gramlich,,,13,100,13,Democrat,True
3773,ME,23082,23082L,State House,State House District 82,Randall Greenwood,,,82,42,82,Republican,True
3775,ME,23064,23064L,State House,State House District 64,Laurel Libby,,,64,9999,64,Republican,True
3781,ME,23006,23006L,State House,State House District 6,Tiffany Roberts-Lovell,,,06,100,6,Democrat,True
3785,ME,23118,23118L,State House,State House District 118,Chad Grignon,,,18,28,118,Republican,True
3788,ME,23020,23020L,State House,State House District 20,Theodore Kryzak,,,20,30,20,Republican,True
3792,ME,23115,23115L,State House,State House District 115,Josanne Dolloff,,,15,0,115,Republican,True
3796,ME,23050,23050L,State House,State House District 50,Ralph Tucker,,,50,100,50,Democrat,True
3800,ME,23072,23072L,State House,State House District 72,Kathleen Dillingham,,,72,52,72,Republican,True
3802,ME,23124,23124L,State House,State House District 124,Joseph Perry,,,24,100,124,Democrat,True
3805,ME,23011,23011L,State House,State House District 11,Ryan Fecteau,,,11,100,11,Democrat,True
3807,ME,23032,23032L,State House,State House District 32,Christopher Kessler,,,32,100,32,Democrat,True
3810,ME,23076,23076L,State House,State House District 76,Daniel Newman,,,76,9999,76,Republican,True
3813,ME,23106,23106L,State House,State House District 106,Amanda Collamore,,,06,9999,106,Republican,True
3817,ME,23116,23116L,State House,State House District 116,Richard Pickett,,,16,33,116,Republican,True
3819,ME,23003,23003L,State House,State House District 3,Lydia Blume,,,03,100,3,Democrat,True
3821,ME,23073,23073L,State House,State House District 73,John Andrews,,,73,10,73,Libertarian,True
3824,ME,23088,23088L,State House,State House District 88,Michael Lemelin,,,88,9999,88,Republican,True
3827,ME,23107,23107L,State House,State House District 107,Jennifer Poirier,,,07,9999,107,Republican,True
3831,ME,23110,23110L,State House,State House District 110,Colleen Madigan,,,10,100,110,Democrat,True
3834,ME,23068,23068L,State House,State House District 68,Richard Cebra,,,68,38,68,Republican,True
3836,ME,23024,23024L,State House,State House District 24,Mark Bryant,,,24,100,24,Democrat,True
3839,ME,23046,23046L,State House,State House District 46,Braden Sharpe,,,46,100,46,Democrat,True
3841,ME,23017,23017L,State House,State House District 17,Dwayne Prescott,,,17,32,17,Republican,True
3843,ME,23130,23130L,State House,State House District 130,Kathy Downes,,,30,9999,130,Republican,True
3845,ME,23075,23075L,State House,State House District 75,Joshua Morris,,,75,10,75,Republican,True
3847,ME,23031,23031L,State House,State House District 31,Lois Galgay Reckitt,,,31,100,31,Democrat,True
3849,ME,23056,23056L,State House,State House District 56,Richard Mason,,,56,10,56,Republican,True
3854,ME,23094,23094L,State House,State House District 94,Victoria Doudera,,,94,100,94,Democrat,True
3858,ME,23087,23087L,State House,State House District 87,Jeffery Hanley,,,87,25,87,Republican,True
3860,ME,23055,23055L,State House,State House District 55,Seth Berry,,,55,100,55,Democrat,True
3863,ME,23092,23092L,State House,State House District 92,Ann Matlack,,,92,100,92,Democrat,True
3866,ME,23081,23081L,State House,State House District 81,Tavis Hasenfus,,,81,9999,81,Democrat,True
3868,ME,23038,23038L,State House,State House District 38,Barbara Wood,,,38,9999,38,Democrat,True
3870,ME,23090,23090L,State House,State House District 90,Lydia Crafts,,,90,9999,90,Democrat,True
3872,ME,23093,23093L,State House,State House District 93,Valli Geiger,,,93,9999,93,Democrat,True
3876,ME,23039,23039L,State House,State House District 39,Michael Sylvester,,,39,94,39,Democrat,True
3879,ME,23002,23002L,State House,State House District 2,Michele Meyer,,,02,100,2,Democrat,True
3882,ME,23114,23114L,State House,State House District 114,Randall Hall,,,14,30,114,Republican,True
3883,ME,23071,23071L,State House,State House District 71,Sawin Millett,,,71,30,71,Republican,True
3923,FL,12039,12039L,State House,State House District 39,Josie Tomkow,38.7,2016.0,39,0,39,Republican,True
3930,FL,12071,12071L,State House,State House District 71,Will Robinson,42.7,2016.0,71,0,71,Republican,True
3934,FL,12106,12106L,State House,State House District 106,Bob Rommel,33.8,2016.0,06,0,106,Republican,True
4031,FL,12019,12019L,State House,State House District 19,Bobby Payne,25.8,2016.0,19,0,19,Republican,True
4090,FL,12067,12067L,State House,State House District 67,Chris Latvala,45.8,2016.0,67,0,67,Republican,True
4178,FL,12018,12018L,State House,State House District 18,Sam Garrison,27.3,2016.0,18,9999,18,Republican,True
4200,NC,37049,37049L,State House,State House District 49,Cynthia Ball,64.1,2016.0,49,100,49,Democrat,True
4206,NC,37079,37079L,State House,State House District 79,Keith Kidwell,36.1,2016.0,79,33,79,Republican,True
4207,NC,37064,37064L,State House,State House District 64,Dennis Riddell,37.5,2016.0,64,16,64,Republican,True
4210,NC,37006,37006L,State House,State House District 6,Bobby Hanig,33.0,2016.0,06,66,6,Republican,True
4214,NC,37118,37118L,State House,State House District 118,Mark Pless,32.5,2016.0,18,9999,118,Republican,True
4217,NC,37020,37020L,State House,State House District 20,Robert Davis,41.3,2016.0,20,33,20,Republican,True
4221,NC,37050,37050L,State House,State House District 50,Graig Meyer,55.9,2016.0,50,100,50,Democrat,True
4223,NC,37115,37115L,State House,State House District 115,John Ager,56.8,2016.0,15,100,115,Democrat,True
4227,NC,37072,37072L,State House,State House District 72,Amber Baker,71.3,2016.0,72,9999,72,Democrat,True
4230,NC,37021,37021L,State House,State House District 21,Raymond Smith,53.9,2016.0,21,100,21,Democrat,True
4232,NC,37065,37065L,State House,State House District 65,Jerry Carter,34.2,2016.0,65,66,65,Republican,True
4235,NC,37025,37025L,State House,State House District 25,James Gailliard,52.5,2016.0,25,100,25,Democrat,True
4238,NC,37084,37084L,State House,State House District 84,Jeffrey McNeely,29.7,2016.0,84,9999,84,Republican,True
4241,NC,37091,37091L,State House,State House District 91,Kyle Hall,21.9,2016.0,91,26,91,Republican,True
4243,NC,37070,37070L,State House,State House District 70,Patricia Hurley,22.5,2016.0,70,16,70,Republican,True
4244,NC,37012,37012L,State House,State House District 12,Chris Humphrey,46.4,2016.0,12,66,12,Republican,True
4247,NC,37045,37045L,State House,State House District 45,John Szoka,47.4,2016.0,45,25,45,Republican,True
4248,NC,37023,37023L,State House,State House District 23,Shelly Willingham,60.2,2016.0,23,95,23,Democrat,True
4250,NC,37013,37013L,State House,State House District 13,Patricia McElraft,28.2,2016.0,13,16,13,Republican,True
4251,NC,37082,37082L,State House,State House District 82,Kristin Baker,42.2,2016.0,82,9999,82,Republican,True
4254,NC,37054,37054L,State House,State House District 54,Robert Reives,59.3,2016.0,54,100,54,Democrat,True
4257,NC,37098,37098L,State House,State House District 98,John Bradford,44.1,2016.0,98,20,98,Republican,True
4260,NC,37083,37083L,State House,State House District 83,Larry Pittman,39.3,2016.0,83,16,83,Republican,True
4261,NC,37066,37066L,State House,State House District 66,Ben Moss,40.3,2016.0,66,9999,66,Republican,True
4265,NC,37051,37051L,State House,State House District 51,John Sauls,41.4,2016.0,51,30,51,Republican,True
4269,NC,37010,37010L,State House,State House District 10,John Bell,30.8,2016.0,10,16,10,Republican,True
4272,NC,37008,37008L,State House,State House District 8,Kandie Smith,58.3,2016.0,08,100,8,Democrat,True
4275,NC,37022,37022L,State House,State House District 22,William Brisson,42.6,2016.0,22,28,22,Republican,True
4276,NC,37005,37005L,State House,State House District 5,Howard Hunter,54.7,2016.0,05,73,5,Democrat,True
4278,NC,37117,37117L,State House,State House District 117,Timothy Moffitt,35.6,2016.0,17,9999,117,Republican,True
4281,NC,37027,37027L,State House,State House District 27,Michael Wray,62.7,2016.0,27,54,27,Democrat,True
4282,NC,37097,37097L,State House,State House District 97,Jason Saine,24.9,2016.0,97,27,97,Republican,True
4284,NC,37086,37086L,State House,State House District 86,Hugh Blackwell,30.3,2016.0,86,40,86,Republican,True
4285,NC,37026,37026L,State House,State House District 26,Donna White,36.2,2016.0,26,26,26,Republican,True
4287,NC,37007,37007L,State House,State House District 7,Bobbie Richardson,40.3,2016.0,07,9999,7,Republican,True
4288,NC,37007,37007L,State House,State House District 7,Bobbie Richardson,40.3,2016.0,07,100,7,Democrat,True
4289,NC,37048,37048L,State House,State House District 48,Garland Pierce,53.4,2016.0,48,87,48,Democrat,True
4290,NC,37036,37036L,State House,State House District 36,Julie von Haefen,50.1,2016.0,36,100,36,Democrat,True
4292,NC,37077,37077L,State House,State House District 77,Julia Howard,22.6,2016.0,77,33,77,Republican,True
4294,NC,37004,37004L,State House,State House District 4,James Dixon,35.2,2016.0,04,25,4,Republican,True
4296,NC,37055,37055L,State House,State House District 55,Mark Brody,41.7,2016.0,55,16,55,Republican,True
4297,NC,37092,37092L,State House,State House District 92,Terry Brown,70.4,2016.0,92,9999,92,Democrat,True
4302,NC,37081,37081L,State House,State House District 81,Larry Potts,25.8,2016.0,81,26,81,Republican,True
4305,NC,37038,37038L,State House,State House District 38,Abraham Jones,80.3,2016.0,38,9999,38,Democrat,True
4307,NC,37090,37090L,State House,State House District 90,Sarah Stevens,23.4,2016.0,90,27,90,Republican,True
4308,NC,37093,37093L,State House,State House District 93,Ray Pickett,41.6,2016.0,93,9999,93,Republican,True
4312,NC,37039,37039L,State House,State House District 39,James Roberson,63.8,2016.0,39,9999,39,Democrat,True
4314,NC,37002,37002L,State House,State House District 2,Lawrence Yarborough,40.6,2016.0,02,26,2,Republican,True
4317,NC,37114,37114L,State House,State House District 114,Susan Fisher,54.9,2016.0,14,100,114,Democrat,True
4318,NC,37071,37071L,State House,State House District 71,Evelyn Terry,70.3,2016.0,71,100,71,Democrat,True
4320,NC,37076,37076L,State House,State House District 76,Harry Warren,38.6,2016.0,76,26,76,Republican,True
4322,NC,37003,37003L,State House,State House District 3,Steve Tyson,39.1,2016.0,03,9999,3,Republican,True
4325,NC,37106,37106L,State House,State House District 106,Carla Cunningham,80.5,2016.0,06,86,106,Democrat,True
4327,NC,37073,37073L,State House,State House District 73,Walter Zachary,33.5,2016.0,73,26,73,Republican,True
4330,NC,37088,37088L,State House,State House District 88,Mary Belk,62.8,2016.0,88,100,88,Democrat,True
4332,NC,37107,37107L,State House,State House District 107,Kelly Alexander,76.4,2016.0,07,85,107,Democrat,True
4333,NC,37085,37085L,State House,State House District 85,Dudley Greene,22.2,2016.0,85,9999,85,Republican,True
4336,NC,37063,37063L,State House,State House District 63,Ricky Hurtado,47.5,2016.0,63,9999,63,Democrat,True
4339,NC,37068,37068L,State House,State House District 68,David Willis,32.7,2016.0,68,9999,68,Republican,True
4342,NC,37110,37110L,State House,State House District 110,Kelly Hastings,27.1,2016.0,10,10,110,Republican,True
4344,NC,37024,37024L,State House,State House District 24,Linda Cooper-Suggs,51.9,2016.0,24,9999,24,Democrat,True
4346,NC,37046,37046L,State House,State House District 46,Brenden Jones,43.8,2016.0,46,26,46,Republican,True
4350,NC,37017,37017L,State House,State House District 17,Francis Iler,34.9,2016.0,17,16,17,Republican,True
4352,NC,37075,37075L,State House,State House District 75,Donny Lambeth,35.1,2016.0,75,16,75,Republican,True
4354,NC,37056,37056L,State House,State House District 56,Verla Insko,84.4,2016.0,56,100,56,Democrat,True
4355,NC,37031,37031L,State House,State House District 31,Zack Forde-Hawkins,80.8,2016.0,31,100,31,Democrat,True
4357,NC,37094,37094L,State House,State House District 94,Jeffrey Elmore,21.9,2016.0,94,18,94,Republican,True
4358,NC,37102,37102L,State House,State House District 102,Becky Carney,79.0,2016.0,02,94,102,Democrat,True
4359,NC,37087,37087L,State House,State House District 87,Destin Hall,23.5,2016.0,87,40,87,Republican,True
4362,NC,37043,37043L,State House,State House District 43,Diane Wheatley,47.6,2016.0,43,9999,43,Republican,True
4364,NC,37040,37040L,State House,State House District 40,Joseph John,52.3,2016.0,40,100,40,Democrat,True
4366,NC,37069,37069L,State House,State House District 69,Larry Arp,32.0,2016.0,69,18,69,Republican,True
4369,NC,37112,37112L,State House,State House District 112,David Rogers,24.5,2016.0,12,28,112,Republican,True
4372,NC,37103,37103L,State House,State House District 103,Rachel Hunt,50.1,2016.0,03,100,103,Democrat,True
4375,NC,37019,37019L,State House,State House District 19,Charles Miller,37.7,2016.0,19,9999,19,Republican,True
4377,NC,37047,37047L,State House,State House District 47,Charles Graham,45.0,2016.0,47,61,47,Democrat,True
4379,NC,37062,37062L,State House,State House District 62,John Faircloth,40.0,2016.0,62,25,62,Republican,True
4381,NC,37035,37035L,State House,State House District 35,Terence Everitt,48.0,2016.0,35,100,35,Democrat,True
4384,NC,37001,37001L,State House,State House District 1,Edward Goodwin,46.1,2016.0,01,66,1,Republican,True
4386,NC,37120,37120L,State House,State House District 120,Karl Gillespie,23.7,2016.0,20,9999,120,Republican,True
4388,NC,37113,37113L,State House,State House District 113,Jake Johnson,34.8,2016.0,13,9999,113,Republican,True
4393,NC,37067,37067L,State House,State House District 67,Wayne Sasser,20.0,2016.0,67,66,67,Republican,True
4395,NC,37089,37089L,State House,State House District 89,Mitchell Setzer,26.2,2016.0,89,33,89,Republican,True
4396,NC,37101,37101L,State House,State House District 101,Carolyn Logan,71.3,2016.0,01,100,101,Democrat,True
4398,NC,37060,37060L,State House,State House District 60,Cecil Brockman,61.6,2016.0,60,95,60,Democrat,True
4401,NC,37111,37111L,State House,State House District 111,Timothy Moore,36.8,2016.0,11,11,111,Republican,True
4402,NC,37095,37095L,State House,State House District 95,Grey Mills,30.8,2016.0,95,9999,95,Republican,True
4405,NC,37080,37080L,State House,State House District 80,Samuel Watford,22.9,2016.0,80,11,80,Republican,True
4408,NC,37074,37074L,State House,State House District 74,Jeff Zenger,43.5,2016.0,74,9999,74,Republican,True
4412,NC,37030,37030L,State House,State House District 30,Marcia Morey,70.4,2016.0,30,100,30,Democrat,True
4415,NC,37100,37100L,State House,State House District 100,Johnnie Autry,72.5,2016.0,00,100,100,Democrat,True
4417,NC,37052,37052L,State House,State House District 52,James Boles,35.0,2016.0,52,17,52,Republican,True
4418,NC,37096,37096L,State House,State House District 96,James Adams,33.2,2016.0,96,25,96,Republican,True
4420,NC,37078,37078L,State House,State House District 78,Allen McNeill,19.7,2016.0,78,16,78,Republican,True
4422,NC,37034,37034L,State House,State House District 34,David Martin,55.8,2016.0,34,100,34,Democrat,True
4424,NC,37053,37053L,State House,State House District 53,Howard Penny,36.1,2016.0,53,9999,53,Republican,True
4426,NC,37105,37105L,State House,State House District 105,Wesley Harris,51.6,2016.0,05,100,105,Democrat,True
4430,NC,37042,37042L,State House,State House District 42,Marvin Lucas,65.3,2016.0,42,85,42,Democrat,True
4431,NC,37014,37014L,State House,State House District 14,George Cleveland,35.4,2016.0,14,35,14,Republican,True
4432,NC,37059,37059L,State House,State House District 59,Jonathan Hardister,44.6,2016.0,59,16,59,Republican,True
4434,NC,37037,37037L,State House,State House District 37,Erin Pare,44.6,2016.0,37,9999,37,Republican,True
4437,NC,37009,37009L,State House,State House District 9,Brian Farkas,48.8,2016.0,09,9999,9,Democrat,True
4442,NC,37033,37033L,State House,State House District 33,Rosa Gill,70.9,2016.0,33,100,33,Democrat,True
4443,NC,37099,37099L,State House,State House District 99,Nasif Majeed,62.5,2016.0,99,100,99,Democrat,True
4446,NC,37058,37058L,State House,State House District 58,Amos Quick,72.7,2016.0,58,100,58,Democrat,True
4450,NC,37104,37104L,State House,State House District 104,Brandon Lofton,51.9,2016.0,04,100,104,Democrat,True
4453,NC,37028,37028L,State House,State House District 28,Larry Strickland,31.3,2016.0,28,26,28,Republican,True
4455,NC,37057,37057L,State House,State House District 57,Ashton Clemmons,66.4,2016.0,57,100,57,Democrat,True
4456,NC,37119,37119L,State House,State House District 119,James Clampitt,40.8,2016.0,19,0,119,Republican,True
4459,NC,37109,37109L,State House,State House District 109,Dana Bumgardner,34.5,2016.0,09,38,109,Republican,True
4461,NC,37011,37011L,State House,State House District 11,Allison Dahle,65.9,2016.0,11,100,11,Democrat,True
4464,NC,37032,37032L,State House,State House District 32,Terry Garrison,62.8,2016.0,32,92,32,Democrat,True
4467,NC,37061,37061L,State House,State House District 61,Mary Harrison,72.8,2016.0,61,100,61,Democrat,True
4469,NC,37018,37018L,State House,State House District 18,Deb Butler,55.3,2016.0,18,100,18,Democrat,True
4472,NC,37029,37029L,State House,State House District 29,Vernetta Alston,86.5,2016.0,29,9999,29,Democrat,True
4475,NC,37108,37108L,State House,State House District 108,John Torbett,33.1,2016.0,08,25,108,Republican,True
4477,NC,37116,37116L,State House,State House District 116,Brian Turner,55.4,2016.0,16,100,116,Democrat,True
4479,NC,37015,37015L,State House,State House District 15,Phillip Shepard,28.1,2016.0,15,16,15,Republican,True
4485,NC,37041,37041L,State House,State House District 41,Gale Adcock,57.2,2016.0,41,90,41,Democrat,True
4490,NC,37016,37016L,State House,State House District 16,Carson Smith,36.1,2016.0,16,66,16,Republican,True
4494,OR,41057,41057L,State House,State House District 57,Gregory Smith,,,57,28,57,Republican,True
4495,OR,41038,41038L,State House,State House District 38,Andrea Salinas,,,38,87,38,Democrat,True
4498,OR,41002,41002L,State House,State House District 2,Gary Leif,,,02,50,2,Republican,True
4500,OR,41039,41039L,State House,State House District 39,Christine Drazan,,,39,37,39,Republican,True
4501,OR,41011,41011L,State House,State House District 11,Marshall Wilde,,,11,87,11,Democrat,True
4504,OR,41032,41032L,State House,State House District 32,Suzanne Weber,,,32,9999,32,Republican,True
4506,OR,41018,41018L,State House,State House District 18,Rick Lewis,,,18,56,18,Republican,True
4509,OR,41003,41003L,State House,State House District 3,Lily Morgan,,,03,9999,3,Republican,True
4512,OR,41029,41029L,State House,State House District 29,Susan McLain,,,29,80,29,Democrat,True
4515,OR,41015,41015L,State House,State House District 15,Shelly Boshart Davis,,,15,18,15,Republican,True
4518,OR,41044,41044L,State House,State House District 44,Tina Kotek,,,44,77,44,Democrat,True
4519,OR,41024,41024L,State House,State House District 24,Ronald Noble,,,24,44,24,Republican,True
4521,OR,41041,41041L,State House,State House District 41,Karin Power,,,41,76,41,Democrat,True
4524,OR,41046,41046L,State House,State House District 46,Khanh Pham,,,46,9999,46,Democrat,True
4526,OR,41016,41016L,State House,State House District 16,Dan Rayfield,,,16,86,16,Democrat,True
4527,OR,41006,41006L,State House,State House District 6,Kimberly Wallan,,,06,33,6,Republican,True
4529,OR,41031,41031L,State House,State House District 31,Bradley Witt,,,31,60,31,Democrat,True
4530,OR,41056,41056L,State House,State House District 56,Eric Reschke,,,56,10,56,Republican,True
4533,OR,41020,41020L,State House,State House District 20,Paul Evans,,,20,67,20,Democrat,True
4536,OR,41050,41050L,State House,State House District 50,Ricki Ruiz,,,50,9999,50,Democrat,True
4538,OR,41021,41021L,State House,State House District 21,Brian Clem,,,21,85,21,Democrat,True
4539,OR,41043,41043L,State House,State House District 43,Tawna Sanchez,,,43,85,43,Democrat,True
4540,OR,41040,41040L,State House,State House District 40,Mark Meek,,,40,80,40,Democrat,True
4543,OR,41019,41019L,State House,State House District 19,Raquel Moore-Green,,,19,9999,19,Republican,True
4547,OR,41047,41047L,State House,State House District 47,Andrea Valderrama,,,47,9999,47,Democrat,True
4550,OR,41025,41025L,State House,State House District 25,Bill Post,,,25,25,25,Republican,True
4551,OR,41025,41025L,State House,State House District 25,Bill Post,,,25,9,25,Republican,True
4552,OR,41012,41012L,State House,State House District 12,John Lively,,,12,80,12,Democrat,True
4554,OR,41001,41001L,State House,State House District 1,David Smith,,,01,48,1,Republican,True
4557,OR,41035,41035L,State House,State House District 35,Dacia Grayber,,,35,9999,35,Democrat,True
4558,OR,41045,41045L,State House,State House District 45,Barbara Warner,,,45,80,45,Democrat,True
4559,OR,41023,41023L,State House,State House District 23,Mike Nearman,,,23,9,23,Republican,True
4561,OR,41013,41013L,State House,State House District 13,Nancy Nathanson,,,13,83,13,Democrat,True
4562,OR,41060,41060L,State House,State House District 60,Mark Owens,,,60,9999,60,Republican,True
4564,OR,41054,41054L,State House,State House District 54,Jason Kropf,,,54,9999,54,Democrat,True
4568,OR,41051,41051L,State House,State House District 51,Janelle Bynum,,,51,70,51,Democrat,True
4570,OR,41010,41010L,State House,State House District 10,David Gomberg,,,10,83,10,Democrat,True
4572,OR,41008,41008L,State House,State House District 8,Paul Holvey,,,08,83,8,Democrat,True
4573,OR,41022,41022L,State House,State House District 22,Teresa Alonso Leon,,,22,71,22,Democrat,True
4575,OR,41005,41005L,State House,State House District 5,Pam Marsh,,,05,96,5,Democrat,True
4577,OR,41030,41030L,State House,State House District 30,Janeen Sollman,,,30,76,30,Democrat,True
4581,OR,41052,41052L,State House,State House District 52,Anna Williams,,,52,84,52,Democrat,True
4585,OR,41027,41027L,State House,State House District 27,Sheri Malstrom Schouten,,,27,86,27,Democrat,True
4587,OR,41034,41034L,State House,State House District 34,Ken Helm,,,34,83,34,Democrat,True
4589,OR,41053,41053L,State House,State House District 53,Joseph Zika,,,53,43,53,Republican,True
4591,OR,41042,41042L,State House,State House District 42,Robert Nosse,,,42,88,42,Democrat,True
4593,OR,41026,41026L,State House,State House District 26,Courtney Neron,,,26,93,26,Democrat,True
4597,OR,41014,41014L,State House,State House District 14,Julianne Fahey,,,14,86,14,Democrat,True
4599,OR,41007,41007L,State House,State House District 7,Cedric Hayden,,,07,34,7,Republican,True
4601,OR,41048,41048L,State House,State House District 48,Jeff Reardon,,,48,83,48,Democrat,True
4603,OR,41059,41059L,State House,State House District 59,Daniel Bonham,,,59,18,59,Republican,True
4605,OR,41037,41037L,State House,State House District 37,Rachel Prusak,,,37,100,37,Democrat,True
4609,OR,41009,41009L,State House,State House District 9,Boomer Wright,,,09,9999,9,Republican,True
4610,OR,41033,41033L,State House,State House District 33,Maxine Dexter,,,33,9999,33,Democrat,True
4613,OR,41036,41036L,State House,State House District 36,Lisa Reynolds,,,36,9999,36,Democrat,True
4617,OR,41058,41058L,State House,State House District 58,Bobby Levy,,,58,9999,58,Republican,True
4619,OR,41055,41055L,State House,State House District 55,Vikki Breese-Iverson,,,55,9999,55,Republican,True
4621,OR,41004,41004L,State House,State House District 4,Duane Stark,,,04,13,4,Republican,True
4624,OR,41028,41028L,State House,State House District 28,Wlnsvey Campos,,,28,9999,28,Democrat,True
4625,OR,41049,41049L,State House,State House District 49,Zach Hudson,,,49,9999,49,Democrat,True
